"# of Use","# em Uso"
"%1$s incl tax.","%1$s incl taxa."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"Info Column Options Wrapper","Info Coluna Opções Empacotamento"
"Input Type","Tipo de Campo"
"Integer","Inteiro"
"Invalid Tier Prices","Faixa de Preços Inválida"
"Invalid attribute %s.","Atributo Inválido %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido para o atributo selecionado %s (%s), ignorando registro."
"Invalid attribute set specified, skipping the record.","Atributo inválido selecionado, ignorando registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs de categoria inválida."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválida."
"Invalid image type.","Tipo de imagem inválida."
"Invalid option ID specified for %s (%s), skipping the record.","Opção de id selecionada inválida para %s (%s), ignorando registro."
"Invalid product type specified, skipping the record.","Tipo de produto selecionado inválido, ignorando registro."
"Invalid store specified","Loja selecionada inválida"
"Invalid store specified, skipping the record.","Loja selecionada inválida, ignorando registro."
"Invalid tier prices. The product is not associated to the requested website.","Faixa de preços inválida. Produto não está associado ao website informado."
"Invalid transactional email code.","Código de email de transação inválido."
"Inventory","Estoque"
"Is Default","Padrão"
"Is Required","Obrigatório"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou nos resultados de busca precisa ter o status 'Desabilitado' nas opções da loja."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou nos resultados de busca precisa ter o status 'Desabilitado' nas opções da loja."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique de olhos abertos nas promoções de volta as aulas e economize MUITO!"
"Label","Descrição"
"Last Name","Sobrenome"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Detalhes"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionado, Venda Agregada, Venda Cruzada)"
"Link product does not exist.","Link do produto não existe."
"Link to a Specified Category","Link para um Categoria Definida"
"Link to a Specified Product","Link para um Produto Definido"
"List","Lista"
"List Mode","Forma de Exibir os Produtos"
"List of Products that are set as New","Lista de Produtos que você marcou como Novo"
"Manage Attribute Sets","Gerenciar Grupo de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categorias"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Descrição/Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Product Attributes","Gerenciar Atributos do Produto"
"Manage Product Sets","Gerenciar Grupos de Produto"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Display Settings","Configurações de exibição"
"Qty","Quantidade"
"Qty for Item's Status to become Out of Stock","Quantidade para o status do ítem se tornar esgotado"
"Up-sells","Vendas desse produto"
"Manage Titles (Size, Color, etc.)","Gerenciar Descrição (Tamanho, Cor, etc.)"
"Max Characters","Máx. Caracteres"
"Maximal Depth","Fundo Máximo"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho de Compras"
"Qty Uses Decimals","Usar vaores decimais em quantidade"
"Maximum allowed image size for '%s' is %sx%s px.","Tamanho máximo permitido para imagens '%s' é %sx%s px."
"Maximum image height","Altura Máxima da Imagem"
"Maximum image width","Largura Máxima da Imagem"
"Maximum number of characters:","Número Máximo de Caracteres:"
"Media Image","Mídia Imagem"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Quantidade Mínima para Indicar que o Item está Sem Estoque"
"Missing SKU, skipping the record.","Faltando SKU, ignorar registro."
"More Views","Mais Imagens"
"Move","Mover"
"Move category in tree","Mover categoria em árvore"
"Must be in the allowed values list.","Precisa estar na lista de valores permitidos."
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome Em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Novos Produtos Modelo Tabela"
"New Products List Template","Novos Produtos Modelo Lista"
"New Root Category","Nova Categoria Principal"
"New Search","Nova Pesquisa"
"New Set Name","Novo Nome"
"New Subcategory","Nova Sub-Categoria"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualização de leiaute"
"No options of this product are available.","Nenhuma opção está disponível para este produto."
"No product collections found.","Nenhuma coleção de produtos encontrada."
"None","Nenhum"
"Not Visible Individually","Não Exibir Individualmente"
"Notify Low Stock RSS","RSS Estoque Baixo"
"Notify for Quantity Below","Avisar sobre Quantidade Baixa"
"Number of Products to Display","Número de Produtos para Exibir"
"Number of Uses","Número de Usos"
"Number of results<br/>(For the last time placed)","Número de resultados<br/>(Para último colocado)"
"OK","OK"
"OR","OU"
"Old Price:","Preço Original:"
"Option validation failed to add product to cart.","Opção de validação falhou para adicionar produto no carrinho de compras."
"Option:","Opção:"
"Options Control","Controle de Opções"
"Options is required","Opção é obrigatória"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nossos serviços estão disponíveis 24/7. Entre em contato (555) 555-0123."
"Out of Stock","Esgotado"
"Out of stock","Esgotado"
"PM","PM"
"Page Title Separator","Separador de Título da Página"
"Parent Category","Categoria Parente"
"Pending","Pendente"
"Pending Reviews RSS","RSS Comentários Pendentes"
"Percentage","Porcentagem"
"Please add rows to option.","Adicionar linhas para opções."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Atenção, ao clicar na linha todos os dados do pacote serão carregados no formulário selecionado e os dados que não foram salvos serão perdidos."
"Please click on the Close Window button if it is not closed automatically.","Clique em Fechar Janela se você não deseja fechar automaticamente."
"Please enter a new group name","Informe o nome do grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Atualize ""Reescrita de URL de Catálogos"" e ""Atributo dos Produtos"" em Sistema -> <a href=""%s"">Gerenciador de Índex</a>"
"Please select a static block ...","Selecione um bloco estático..."
"Please select items.","Selecione os itens."
"Please select one or more attributes.","Selecione um ou mais atributos."
"Please select product(s).","Selecione produto(s)."
"Please select products for attributes update","Selecione produtos para atualizar atributos"
"Please specify date required option(s).","Informe a data de opção obrigatória."
"Please specify the product required option(s)","Algumas opções são obrigatórias"
"Please specify the product required option(s).","Algumas opções são obrigatórias."
"Please specify the product\'s option(s).","Informe as opções dos produtos."
"Please specify the product\'s required option(s).","Informe as opções obrigatórias dos produtos."
"Please specify the quantity of product(s).","Informe a quantidade de produto(s)."
"Please specify time required option(s).","Informe o tempo de opção obrigatório."
"Please wait...","Por favor aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Camada de Navegação"
"Position of attribute in layered navigation block","Ordem de exibição na área de navegação"
"Prev","Anterior"
"Previous","Próximo"
"Price","Preço"
"Price Navigation Step Calculation","Navegação de Preço Passo Calculado"
"Price Type","Tipo de Preço"
"Price is not available","Preço não está disponível"
"Price values for options should be specified in system base currency.","Opções para valores de Preços precisam ser informados no sistema de moeda base."
"Price:","Preço:"
"Price: %s","Preço: %s"
"Print This Page","Imprimir esta Página"
"Product","Produto"
"Product API","API do Produto"
"Product Alerts","Alerta de Produtos"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos do Produto"
"Product Categories","Categorias do Produto"
"Product Description","Descrição"
"Product Extra Info","Info Extra Produto"
"Product Flat Data","Produto Unificado"
"Product ID","Product ID"
"Product Image Placeholders","Substituto de Imagens"
"Product Image Watermarks","Imagem Marca D'água dos Produtos"
"Product Images","Imagens do Produto"
"Product Images API","API de Imagens do Produto"
"Product In Websites","Produto Em Websites"
"Product Info Column","Produto Info Coluna"
"Product Information","Criar Produto"
"Product Link Block Template","Produto Link Modelo Bloco"
"Product Link Inline Template","Produto Link Modelo Inline"
"Product Listing Sort by","Listando Produtos pela Ordem"
"Product Name","Nome do Produto"
"Product Prices","Preços do Produto"
"Product Reviews","Comentários do Produto"
"Product Tags","Tags do Produto"
"Product Tier Price API","API da Faixa de Preços do Produto"
"Product Type","Tipo de Produto"
"Product URL Suffix","Sufixo da URL do Produto"
"Product View Extra Hint","Visualizar Dica Extra do Produto"
"Product attribute sets API","API de marcação dos atributos do Produto"
"Product attributes API","API atributos do Produto"
"Product collection expected.","Coleção de Produtos esperado."
"Product is not loaded","Produto não carregado"
"Product links API (related, cross sells, up sells)","API links do Produto (Relacionado, Venda Agregada, Venda Cruzada)"
"Product name","Nome do Produto"
"Product types API","API Tipos de Produto"
"Product with this combination of attributes already associated to configurable.","Produto com estas combinações de atributos já está associado para configurados."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informações de Produtos"
"Products Reviews","Comentários de Produtos"
"Products Sitemap","Sitemap de Produtos"
"Products only","Apenas Produtos"
"Products per Page on Grid Allowed Values","Produtos por Página no Modo Tabela"
