"Manage Checkout Terms and Conditions","Termos e Condições de Compra"
"Maximum Display Recently Added Item(s)","Máximo de itens na lista"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida para entrega em vários endereços é %s"
"Move to Wishlist","Mover para Favoritos"
"Multishipping Checkout","Pagar pedido em entrega dividida"
"Multishipping Checkout Address (Any) Form","Vários Endereços Finalizar Pedido Endereço (Qualquer) Form"
"Multishipping Checkout Billing Address Creation","Vários Endereços Finalizar Pedido Endereço de Cobrança Criando"
"Multishipping Checkout Billing Address Edit Form","Vários Endereços Finalizar Pedido Endereço de Cobrança Editar Form"
"Multishipping Checkout Billing Address Selection","Vários Endereços Finalizar Pedido Endereço de Cobrança Selecionando"
"Multishipping Checkout Billing Information Step","Vários Endereços Finalizar Pedido Cobrança Informação Passo"
"Multishipping Checkout Customer Address Edit Form","Vários Endereços Finalizar Pedido Cliente Endereço Editar Form"
"Multishipping Checkout Overview","Vários Endereços Finalizar Pedido Rever"
"Multishipping Checkout Shipping Address Creation","Vários Endereços Finalizar Pedido Endereço de Entrega Criando"
"Multishipping Checkout Shipping Address Edit Form","Vários Endereços Finalizar Pedido Endereço de Entrega Editar Form"
"Multishipping Checkout Shipping Address Selection","Vários Endereços Finalizar Pedido Endereço de Entrega Selecionando"
"Multishipping Checkout Shipping Information Step","Vários Endereços Finalizar Pedido Informação de Entrega Passo"
"Multishipping Checkout Success","Vários Endereços Finalizar Pedido Sucesso"
"My Cart","Carrinho"
"My Cart (%s item)","Carrinho (%s item)"
"My Cart (%s items)","Carrinho (%s itens)"
"My Cart Link","Links no Carrinho de Compras"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"One Page Checkout","Página Finalizar Pedido"
"One Page Checkout Failure","Falha ao Finalizar Pedido"
"One Page Checkout Overview","Resumo de Pagina para Finalizar Pedido"
"One Page Checkout Success","Pedido Finalizado com Sucesso"
"One item of products do not have identifier or sku","Um dos produtos não possui identificador sku"
"One item of products is not belong any of quote item","Um dos produtos não pertence a qualquer item de cotação"
"Order #","Pedido #"
"Order Review","Confirmar Pedido"
"Order Success","Pedido com Sucesso"
"Order place error.","Posição errada."
"Other Items in Your Order","Outros itens no seu pedido"
"Overview Items After","Resumo de Itens Depois"
"Password","Senha"
"Payment Failed Email Reciever","Destinatário de envio de email"
"Payment Failed Email Sender","Remetente de envio de email"
"Payment Failed Emails","Emails p/ Falhas no Pagamento"
"Payment Failed Template","Modelo de email"
"Payment Information","Forma de Pagamento"
"Payment Method","Forma da Pagamento"
"Payment Methods After Checkout Button","Forma de pagamento depois do botão fechar pedido"
"Payment Methods Before Checkout Button","Forma de pagamento antes do botão fechar pedido"
"Payment method information","Informações do método de pagamento"
"Payment method is not defined","Forma de pagamento não foi selecionada"
"Payment methods in shopping cart","Métodos de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil pagamento # %s: ""%s""."
"Place Order","Finalizar Pedido"
"Please agree to all Terms and Conditions before placing the order.","Você precisa aceitar os termos e condições antes de finalizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Você precisa aceitar os termos e condições antes de finalizar os pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor aceite todos os termos e condições antes de continuar com o pedido."
"Please log in below:","Informe abaixo:"
"Please select region, state or province","Selecione um Estado..."
"Please select shipping address for applicable items","Selecione um endereço de entrega para os itens selecionados"
"Please select shipping methods for all addresses","Selecione uma forma de entrega para todos os endereços"
"Price","Preço"
"Proceed to Checkout","Fechar Pedido"
"Product","Produto"
"Product Name","Nome do Produto"
"Products","Produtos"
"Qty","Qtd"
"Qty:","Qtd:"
"Quantity was recalculated from %d to %d","Quantidade foi recalculada de %d para %d"
"Quote Lifetime (days)","Armazenar Carrinho (dias)"
"Quote item does not exist.","Cotação do item não existe."
"Quote item is not found.","Cotação do item não foi encontrada."
"Recently added item(s)","Últimos Adicionados"
"Register","Cadastrar"
"Register and save time!","Ganhe Tempo!"
"Register to Create an Account","Criar Conta"
"Register with us for future convenience:","Aproveite as Vantagens de Ser Cliente:"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove coupon code from shopping cart","Remover código do cupom do carrinho de compras"
"Remove item","Remover item"
"Remove product from shopping cart","Remover produto do carrinho de compras"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho"
"Retrieve information about shopping cart","Recuperar informações sobre o carrinho de compras"
"Review Order","Rever Pedido"
"Review Order - %s","Rever Pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar"
"Save in address book","Salvar este endereço em minha conta"
"Select Address","Selecione o Endereço"
"Select Addresses","Selecione os Endereços"
"Select Shipping Method","Selecione Método de Entrega"
"Select State/Province...","Selecione Estado..."
"Select a billing address from your address book or enter a new address.","Escolha um endereço de cobrança cadastrado ou crie um novo."
"Select a shipping address from your address book or enter a new address.","Escolha um endereço de entrega cadastrado ou crie um novo."
"Send Payment Failed Email Copy Method","Enviar cópia de email usando"
"Send Payment Failed Email Copy To","Enviar cópia de email para"
"Send To","Enviar para"
"Separate by "","".","Separado por "",""."
"Set customer for shopping cart","Informar cliente para o carrinho de compras"
"Set customer's addresses in shopping cart","Informar endereço do cliente para o carrinho de compras"
"Set payment method","Informe o método de pagamento"
"Set shipping method","Informe o método de entrega"
"Ship to Multiple Addresses","Entregar em vários endereços"
"Ship to different address","Entregar em Outro Endereço"
"Ship to this address","Entregar no Mesmo Endereço"
"Shipping Address","Endereço de Entrega"
"Shipping Information","Informações de Entrega"
"Shipping Method","Escolha de Frete"
"Shipping Methods","Métodos de Entrega"
"Shipping To","Entregar para"
"Shipping information","Informação de Entrega"
"Shipping method has not been selected yet","Método de entrega ainda não foi selecionado"
"Shipping methods in shopping cart","Métodos de envio para o carrinho de compras"
"Shipping selection is not applicable.","Entrega selecionada não esta disponível."
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Form Before","Formulário do Carrinho de Compras vem Antes"
"Shopping Cart Sidebar","Carrinho de Compras na Lateral"
"Shopping Cart Sidebar Extra Actions","Ações Extras no Carrinho de Compras na Lateral"
"Shopping Cart is Empty","Carrinho de Compras Vazio"
"Shopping cart ability to set coupon code","Capacidade de informar código do cupom no carrinho de compras"
"Show Content as","Exibir Conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns produtos solicitados não estão disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas porque a quantidade solicitada não coincide"
"Sorry, no quotes are available for this order at this time.","Desculpe, não há formas de entregas disponíveis para este pedido no momento."
"State/Province","Estado"
"Status","Status"
"Store View","Visão"
"Street Address","Rua"
"Street Address %s","Rua %s"
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informação de Termos e Condições"
"Terms and conditions","Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Agradecemos pela confiança!"
"The condition has been deleted","A condição foi excluída"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","A página para fechar pedido não está disponível."
"The product could not be found.","O produto não foi encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Você possui <a href=""%s"">%s itens</a> no carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","Você possui <a href=""%s"">1 item</a> no carrinho."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"This condition no longer exists.","Esta condição não existe mais."
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Método de pagamento não identificado."
"Unit Price","Preço Unitário"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Update Shopping Cart","Atualizar Valores"
"Update Total","Atualizar Total"
"Update product quantities in shopping cart","Atualizar quantidade de produtos no carrinho de compras"
"Update product(s) quantities in shopping cart","Atualizar quantidade de produto(s) no carrinho de compras"
"Use Billing Address","Usar Endereço de Cobrança"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Seu pedido esta passando por um processo de análise e você receberá um email com detalhes deste pedido. Assim que seu pedido sair para entrega você receberá outro email com um link de rastreamento da entrega."
"You have no items in your shopping cart.","Nenhum item adicionado."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá uma cópia do seu pedido com detalhes por email e um link para acompanhamento."
"Your Checkout Progress","Progressos do Pedido"
"Your billing agreement # is: %s.","Seu termo de cobrança # é: %s."
"Your order # is: %s.","Seu pedido # é: %s"
"Your order has been received","Recebemos seu pedido"
"Your order number is ","Número do seu pedido é "
"Your recurring payment profiles:","Seu perfil de pagamento recorrente:"
"Zip/Postal Code","Cep"
"osCommerce Orders","Pedidos osCommerce"
