"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","Selecione..."
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo ancore (#) não é suportado no sufixo da url amigável"
"Are you sure?","Você tem certeza?"
"Auto-redirect to Base URL","Auto-redirecionar para URL Base"
"Back","Voltar"
"Backup Options","Opções de Backup"
"Base JavaScript URL","URL Base JavaScript"
"Base Link URL","URL Base Link"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","URL Base"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de alterar o 'código' da visão de loja verifique se não é utilizado no arquivo index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de alterar o 'código' do sistema verifique se não é utilizado no arquivo index.php."
"Block with name ""%s"" already exists","Bloco com nome ""%s"" já existe"
"Browser Capabilities Detection","Capacidade de Detecção do Navegador"
"CSS Settings","Configurações CSS"
"Cache Storage Management","Gerenciamento de Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Armazenamento de Cache pode conter informações adicionais. Deseja mesmo liberar da memória?"
"Can not create invoice. Order was not found.","Fatura não foi criada. Pedido não encontrado."
"Can't retrieve request object","Não foi possível recuperar objeto solicitado"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Não foi possível completar esta operação numa área não administrativa."
"Cannot retrieve entity config: %s","Não é possível recuperar entidade de configuração: %s"
"Card type does not match credit card number.","Tipo de cartão não coincide com número do cartão de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","Arquivo controlador não foi carregado mas classe não existe"
"Cookie Domain","Domínio"
"Cookie Lifetime","Ciclo de Vida"
"Cookie Path","Caminho"
"Copyright","Direitos Autorais"
"Countries Options","Opções de Países"
"Create Store","Criar Loja"
"Create Store View","Criar Visão"
"Create Website","Criar Website"
"Credit card number does not match credit card type.","Número do cartão de crédito não coincide com tipo de cartão."
"Current Package Name","Nome do template atual"
"Custom Admin URL","URL personalizada para admin"
"Custom Design","Leiaute Personalizado"
"Custom Email 1","Personalizado 1"
"Custom Email 2","Personalizado 2"
"Custom Variables","Variáveis Personalizadas"
"Customer Support","Suporte"
"Dashboard","Dashboard"
"Date From","Data Início"
"Date To","Data Final"
"Date/time format ""%s"" is not supported.","Data/hora formato ""%s"" não é suportado."
"Debug","Debugar"
"Default","Padrão"
"Default Country","País Padrão"
"Default Description","Descrição Padrão"
"Default Keywords","Palavras-Chaves Padrão"
"Default No-route URL","Sem Rota Padrão URL"
"Default Pages","Páginas Padrão"
"Default Robots","Robots Padrão"
"Default Store","Loja Padrão"
"Default Store View","Visão Padrão"
"Default Title","Título Padrão"
"Default Web URL","URL Padrão da Web"
"Delete","Excluir"
"Delete Store","Excluir"
"Delete Store View","Excluir"
"Delete Website","Excluir"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluindo um %1$s não irá excluir a informação associada com o %1$s (ex. categorias, produtos, etc.), mas o %1$s não poderá ser recuperado. Sugerimos que você faça um backup dos dados antes de excluir o %1$s."
"Design","Template"
"Design Change","Novo Tema"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Limitar Acesso"
"Disable Email Communications","Desativar comunicação por email"
"Disable Modules Output","Desligar Módulos"
"Display Demo Store Notice","Mostrar Mensagem de Loja Demonstração"
"Duplicate Of Template Name","Duplicar o Nome do Modelo"
"Edit Design Change","Editar Alterações no Template"
"Edit Store","Editar Loja"
"Edit Store View","Editar Visão"
"Edit Website","Editar Website"
"Empty identifier field name","Nome do identificador do campo vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Charts","Habilitar Gráficos"
"Enable Prototype Deprecation Log","Ativar Log do Prototype"
"Enabled","Ativado"
"Enabled for Admin","Ativar para Admin"
"Enabled for Frontend","Ativar para Frontend"
"Environment Update Time","Ambiente de Atualização por Tempo"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error: Passwords do not match","Erro: Senhas não conferem"
"Exceptions Log File Name","Arquivo de Exceções do Sistema"
"Favicon Icon","Ícone Favicon"
"File %s does not exist","Arquivo %s não existe"
"File %s is not readable","Arquivo %s não tem permissão de leitura"
"File system","Arquivo de sistema"
"First Day of Week","Primeiro Dia da Semana"
"Flush Cache Storage","Liberar Cache Armazenado"
"Flush Magento Cache","Liberar Cache do Magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Remetente de Email Nova Senha"
"Forgot Password Email Template","Modelo de Email Nova Senha"
"General","Geral"
"General Contact","Contato Geral"
"General Settings","Configurações Gerais"
"Global","Global"
"HTML Head","Cabeçalho HTML"
"Header","Cabeçalho"
"Host","Servidor"
"How many links to display at once.","Quantos links exibir ao mesmo tempo."
"ID Path for Specified Store","Caminho Id para loja informada"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual não cobre as últimas páginas, irá exibir links para páginas anterior/próxima."
"Incorrect credit card expiration date.","Data de expiração do cartão de crédito incorreto."
"Input type ""%value%"" not found in the input types list.","Tipo de campo ""%value%"" não encontrado na lista de tipos."
"Invalid base url type","Tipo de url base inválido"
"Invalid block name to set child %s: %s","Nome do bloco inválido para filho %s: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update handle","Atualização de leiaute manual inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens armazenadas inválidas ""%s"" para mensagens de inicialização de leiaute"
"Invalid transactional email code: ","Código de email de transação inválida: "
"Invalid website\'s configuration path: %s","Configuração inválida de caminho do site: %s"
"JavaScript Settings","Configurações JavaScript"
"Layout","Leiaute"
"Leave empty for access from any location.","Deixe em branco para acessar de qualquer lugar."
"Locale","Idioma"
"Locale Options","Opções de Idioma"
"Log Settings","Configurações de Log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logs de Mage::log(). Arquivo fica em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logs de Mage::logException(). Arquivo fica em {{base_dir}}/var/log"
"Login is Case Sensitive","Login Sensível a Caixa Alta"
"Logo Image Alt","Descrição da Logo"
"Logo Image Src","Diretório da Logo"
"Mail Sending Settings","Configurações de Envio de Email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Tenha certeza de que a URL terminado com '/' (barra), ex. http://yourdomain/magento/"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expressões na mesma ordem que mostrado na configuração."
"Maximum length exceeded.","Tamanho máximo excedido."
"Media Storage","Armazenagem de Mídias"
"Merge CSS Files","Juntar Arquivos CSS"
"Merge JavaScript Files","Juntar Arquivos JavaScript"
"Miscellaneous HTML","Outros Códigos HTML"
"Miscellaneous Scripts","Outros Scripts"
"Model class does not exist: %s.","Classe Modelo não existe: %s."
"Model collection resource name is not defined.","Nome da fonte de coleção de modelo não foi informado."
"Module ""%1$s"" cannot depend on ""%2$s"".","Módulo ""%1$s"" não pode depender de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Módulo ""%1$s"" requer módulo ""%2$s""."
"Name","Nome"
"New Design Change","Nova Alteração de Template"
"New Store","Nova Loja"
"New Store View","Nova Visão"
"New Website","Novo Website"
"No","Não"
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Links de Paginação"
"Pagination Frame Skip","Pular Links de Paginação"
"Parent directory does not exist: %s","Diretório pai não existe: %s"
"Path ""%value%"" is not available and cannot be used.","Caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","Caminho ""%value%"" é protegido e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Caminho ""%value%"" pode não incluir um diretório parente com barras (""../"", ""..\\)."""
"Please choose to register or to checkout as a guest","Escolha entre criar uma conta ou fechar pedido como visitante"
"Please define flag code.","Informe o código da flag."
"Please enter 6 or more characters.","Informe 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Informe 6 ou mais caracteres. Espaços a direita ou a esquerda serão ignorados."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Informe 7 ou mais caracteres. Senha precisa conter ambos caracteres números e letras."
"Please enter a number 0 or greater in this field.","Por favor digite um número igual ou maior que zero neste campo."
"Please enter a number greater than 0 in this field.","Informe um número maior que 0 neste campo."
"Please enter a number lower than 100.","Por favor digite um número menor que 100."
"Please enter a valid $ amount. For example $100.00.","Informe um valor $ . Por exemplo $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor digite uma chave de URL válida. Por exemplo ""exemplo-pagina"", ""exemplo-pagina.html"" ou ""umacategoria/exemplo-pagina""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Informe uma URL válida. Por exemplo http://www.example.com ou www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor digite um URL válido. Protocolo é obrigatório (http://, https:// ou ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor digite um identificador XML válido. Por exemplo algumacoisa_1, block5, id-4."
"Please enter a valid credit card number.","Informe um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Informe um número de verificação de cartão de crédito válido."
"Please enter a valid date between %s and %s","Informe uma data válida entre %s e %s"
"Please enter a valid date equal to or greater than %s","Informe uma data válida igual ou maior que %s"
"Please enter a valid date less than or equal to %s","Informe uma data válida menor ou igual a %s"
"Please enter a valid date.","Informe uma data válida."
"Please enter a valid day (1-%d).","Informe um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Informe um endereço de email válido. Por exemplo johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor digite um número de fax válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid full date","Informe uma data completa"
"Please enter a valid month (1-12).","Informe um mês válido (1-12)."
"Please enter a valid number in this field.","Informe um número válido para este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Informe um número de telefone válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Informe um CPF válido. Por exemplo 123.455.678-9."
"Please enter a valid year (1900-%d).","Informe um ano válido (1900-%d)."
"Please enter a valid zip code.","Informe um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Informe um CEP válido. Por exemplo 90602 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor digite um número de segurança ou data de validade para o tipo de cartão switch/solo."
"Please enter valid password.","Informe uma senha válida."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Informe um tamanho válido de CSS no campo. Por exemplo 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure your passwords match.","Verifique se as senhas são as mesmas."
"Please select State/Province.","Selecione Estado..."
"Please select an option.","Selecione uma opção."
"Please select one of the above options.","Selecione uma das opções abaixo."
"Please select one of the options.","Selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Informe a disponibilidade e/ou a proteção dos caminhos listados antes da validação."
"Please specify either a category or a product, or both.","Informe uma categoria ou um produto, ou ambos."
"Please specify payment method.","Selecione uma forma de pagamento."
"Please specify shipping method.","Selecione uma forma de entrega."
"Please use letters only (a-z or A-Z) in this field.","Use apenas letras (a-z ou A-Z) neste campo."
"Please use letters only (a-z) in this field.","Use apenas letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Use apenas números neste campo. Evite espaços ou outros caracteres como pontos ou vírgulas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use apenas letras (a-z ou A-Z) ou números (0-9) neste campo. Espaços ou outros caracteres não serão permitidos."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor use apenas letras (a-z ou A-Z) ou números (0-9) ou espaços e # neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underlines (_) neste campo, primeiro carácter precisa ser uma letra."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Use apenas letras (a-z) ou números (0-9) apenas neste campo. Espaços ou outros caracteres não serão permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Use apenas letras (a-z) ou números (0-9) ou espaços e # apenas para este campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Use apenas letras (a-z), números (0-9) ou underline(_) neste campo, primeiro carácter precisa ser uma letra."
"Please use only visible characters and spaces.","Por favor use apenas caracteres visíveis e espaços."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use este formato de data: dd/mm/yyyy. Por exemplo 17/03/2006 para informar 17th de Março, 2006."
"Please wait, loading...","Carregando..."
"Polls","Enquetes"
"Port (25)","Porta (25)"
"Profiler","Usar Profiler"
"Request Path for Specified Store","Caminho solicitado para loja específica"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Arquivo solicitado pode não incluir um diretório parente por barras (""../"", ""..\\ notação)"""
"Requested invalid store ""%s""","Loja solicitada inválida ""%s"""
"Resource is not set.","Recurso não está definido."
"Return-Path Email","Retorno de Email"
"Root Category","Categoria Principal"
"Sales Representative","Vendas"
"Save","Salvar"
"Save Store","Salvar"
"Save Store View","Salvar"
"Save Website","Salvar"
"Search Engines Optimization","SEO - Sistema de Otimização de Buscas"
"Secure","HTTPS"
"Security","Segurança"
"Select Date","Selecionar Data"
"Select Media Database","Selecione Banco de Dados de Mídia"
"Sender Email","Remetente de Email"
"Sender Name","Nome do Remetente"
"Services","Serviços"
"Session Cookie Management","Sessão Gerenciada por Cookie"
"Session Lifetime (seconds)","Ciclo de Vida (segundos)"
"Session Validation Settings","Opções de Validação"
"Set Return-Path","Indicar Retorno"
"Set as Default","Indicar como padrão"
"Skin (Images / CSS)","Skin (Imagens / CSS)"
"Sort Order","Ordem de exibição"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora informado ""%1$s"" não possui um formato válido com ""%2$s""."
"Start date cannot be greater than end date.","Data inicial não pode ser maior que a data final."
"Startup Page","Primeira Página"
"Status","Status"
"Storage Configuration for Media","Configuração de Armazenagem para Mídia"
"Store","Loja"
"Store Contact Address","Endereço de Contato"
"Store Contact Information","Informação de Contato da Loja"
"Store Contact Telephone","Telefone de Contato"
"Store Email Addresses","Emails de Contato"
"Store Information","Informações Sobre a Loja"
"Store Name","Loja"
"Store View","Visão"
"Store View Information","Informações da Visão"
"Store View Name","Visão"
"Store view doesn't exist","Visão não existe"
"Store with the same code","Loja com mesmo código"
"System","Sistema"
"System Log File Name","Arquivo de Log do Sistema"
"Template Path Hints","Exibir Caminho das Telas"
"Template Settings","Configurações de Template"
"Template Variables","Variáveis de Modelo"
"Templates","Modelos"
"Text length does not satisfy specified text range.","Tamanho do texto não satisfaz o espaço de texto especificado."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você digitou é inválido. Verifique se a informação segue ""http://domain.com/"" formato."
"The model collection resource name is not defined.","O nome do modelo da fonte de coleção não foi informado."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código da loja pode conter apenas letras (a-z), número (0-9) ou underline(_), o primeiro carácter precisa ser uma letra"
"The store does not exist","A loja não existe"
"The store has been deleted.","A loja foi excluída."
"The store has been saved.","A loja foi salva."
"The store view has been deleted.","A visão foi excluída."
"The store view has been saved","A visão foi salva."
"The template Name must not be empty.","O nome do tema não pode ser vazio."
"The value is not within the specified range.","O valor não está dentro do limite especificado."
"The website does not exist.","O website não existe."
"The website has been deleted.","O website foi excluído."
"The website has been saved.","O website foi salvo."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todos seus elementos filho"
"This category and its child categories only","Esta categoria e este filho apenas"
"This category and its products only","Esta categoria e este produto apenas"
"This category only","Apenas esta categoria"
"This date is a required value.","A data é um valor obrigatório."
"This is a required field.","Campo obrigatório."
"This store cannot be deleted.","Esta loja não pode ser excluída"
"This store view cannot be deleted.","Esta visão não pode ser excluída"
"This website cannot be deleted.","Este website não pode ser excluído"
"This will be displayed just before body closing tag.","Será incluído antes do fechamento da tag BODY."
"This will be included before head closing tag in page HTML.","Será incluído antes do fechamento da tag HEAD."
"Timezone","Fuso Horário"
"Title Prefix","Prefixo de Título"
"Title Suffix","Sufixo de Título"
"Translate Inline","Traduzir na Tela"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Tradução, blocos e outras saídas do cache devem ser desligadas tanto para frontend quanto para backend na tradução inline."
"Translations","Traduções"
"Two and more slashes together are not permitted in request path","Duas ou mais barras juntas não são permitidas no caminho solicitado"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras juntas não são permitidas no sufixo da url amigável"
"Unable to create directory: %s","Não foi possível criar o diretório: %s"
"Unable to delete store view. Please, try again later.","Não foi possível excluir a visão. Tente novamente."
"Unable to delete store. Please, try again later.","Não foi possível excluir a loja. Tente novamente."
"Unable to delete website. Please, try again later.","Não foi possível excluir o website. Tente novamente."
"Unable to proceed. Please, try again","Não foi possível continuar. Tente novamente"
"Unable to proceed. Please, try again.","Não foi possível continuar. Tente novamente."
"Unable to save file ""%s"" at ""%s""","Não foi possível salvar o arquivo ""%s"" como ""%s"""
"Unable to save file: %s","Não foi possível salvar o arquivo: %s"
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
"Unsecure","HTTP"
"Url Options","Opções de Url"
"Use Custom Admin URL","Usar URL Admin Personalizado"
"Use HTTP Only","Usar Apenas HTTP"
"Use SID on Frontend","Usar SID no Frontend"
"Use Secure URLs in Admin","Usar Https no Admin"
"Use Secure URLs in Frontend","Usar Https no Frontend"
"Use Web Server Rewrites","Usar Reescrita de URLs"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT"
"Validate HTTP_VIA","HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","REMOTE_ADDR"
"Validation has failed.","Validação falhou."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores menores que 60 serão ignorados. Nota, as mudanças farão efeitos depois que efetuar login."
"Variable Code must be unique.","Código da variável precisa ser único."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Atenção! A ativação desta função não é recomendada em ambiente de produção porque representa auto risco a segurança."
"Web","Web"
"Website","Website"
"Website Information","Informações do Sistema"
"Website Name","Website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Código do Website precisa conter apenas letras (a-z), números (0-9) ou underline(_), primeiro campo precisa ser uma letra"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Final de Semana"
"Welcome Text","Mensagem de Boas-Vindas"
"When changing media storage or selecting another media database, use the Synchronize function to transfer media to the selected storage. After synchronization is completed, all new media will be automatically placed to the selected media storage.","Quando alterar a armazenagem de mídia ou selecionar outro banco de dados de mídia, use a função de sincronismo para transferir a mídia selecionada armazenada. Depois de sincronizar por completo, toda nova mídia será automaticamente armazenada na mídia selecionada."
"Wrong file info format","Erro na informação de formato do arquivo"
"Wrong number of arguments for %s","Número errado para os argumentos em %s"
"Yes","Sim"
"Your design change for the specified store intersects with another one, please specify another date range.","Suas alterações de tema para a loja indicado batem com outra loja, informe outro intervalo de datas."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser completado nesse momento pois não existem formas de pagamento disponíveis."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser completado neste momento pois não existem formas de entrega disponíveis. Faça as alterações necessárias no seu endereço de entrega."
"Your session has been expired, you will be relogged in now.","Sua sessão expirou, você precisa efetuar login novamente."
"database ""%s""","banco de dados ""%s"""
